epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,2.086207567214966,45.2,84.0,1.6757952798843383,83.17999999999999,98.78
2,1.715487371444702,69.8,97.39999999999999,1.3115854107379914,83.8,98.97
3,1.4566507091522216,71.39999999999999,96.0,1.0260227569580078,85.11,99.05000000000001
4,1.2515079956054687,76.4,96.8,0.8503395869016648,84.02,99.11
